titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,caracteristiques,seller,date_publication,url_annonce,source
نيمرو للبيــع فالمطار سوق السيارات,Terrain,Vente,2000000,400,,,,كرفور لابست,Dar Naim,رقم 77من ابلوك 43 امدخل 70الف مبيوع ب 20 مليون مساحة 400م٢,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيــع-فالمطار-سوق-السيارات--d899,voursa
سكن فبوحديده احذ كدروه حظ سعيد,Immobilier résidentiel,Vente,550000,150,3,1,1,كدروه حظ سعيد,Toujounine,سكن فبوحديده احذ كدروه حظ سعيد فيه بيتن من بتوه واحد من السنك,Garage,محمد عبد الله ولد سيكه,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/سكن-فبوحديده-احذ-كدروه-حظ-سعيد-f8f8,voursa
فلبوادي على شارع كبير 300م,Terrain,Vente,1400000,300,,,,كدروه البوادي,Tevragh Zeina,"300م 
فكرن فلبوادي على شارع 20 
أوراق مكتملة 
للمزيد واتساب [TÉLÉPHONE SUPPRIMÉ]",,محمد لمين ولد شيباني,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/فلبوادي-على-شارع-كبير-300م--f69d,voursa
ديبلكس اكبير للبيع,Immobilier résidentiel,Vente,15000000,930,0,0,0,سكتير 5,Tevragh Zeina,"فرصة سمعه للبيع
الموقع : منطقة سكتير 5 
المساحة : 930 م 
السعر : 150 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-اكبير-للبيع--33f8,voursa
دار فعرفات الداية 11,Immobilier résidentiel,Vente,1300000,180,3,1,2,بقالة الحوضين,Arafat,دار فعرفات الداية 11 احذ بقالة الحوضين,Garage,محمد عبد الله ولد سيكه,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/دار-فعرفات-الداية-11-8af4,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,3300000,180,0,0,0,سوكوجيم عين الطلح,Teyarett,"ديبلكس للبيع 
قرب بارك سوكوجيم 
المساحه 180 م²
فاتح اعل شارع 8 م و ميت فيه T
مأجرة ب 240الف
السعر 33 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--f32e,voursa
نيمرو للبيــع في سكتير 5 F Nord,Terrain,Vente,6700000,875,,,,سكتير 5,Tevragh Zeina,نيمرو للبيع في تفرغ زينه في سكتير. 5. المساحة 875م  السعر  67 مليون,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيــع-في-سكتير-5-f-nord--d8b0,voursa
150م² فكرن فشرم الشيخ البوادي نظيفة,Terrain,Vente,1800000,150,,,,البوادي,Teyarett,"شوارعها كبار ونظيفة ماشاءالله 
ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",,محمدفال,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/150م-فكرن-فشرم-الشيخ-البوادي-نظيفة-beea,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,8500000,400,0,0,0,الصحراوي,Teyarett,"ديبلكس للبيع 
الموقع الصحراوي 
المساحه 400 م²
السعر 85 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--0acc,voursa
دار ف كرفور بالقرب من كدروه طب اطاليا للبيع,Immobilier résidentiel,Vente,750000,150,3,1,2,كرفور,Tevragh Zeina,السلام عليكم هذ دار فكرفور بالقرب من كدروه طب الكاره مساحتها 150م# فيها صلوه وبتين وجلسه ومرافق وتهويه مدخل خمسين ألف مبيووع ب 7ملاين واخمس مائة للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/دار-ف-كرفور-بالقرب-من-كدروه-طب-اطاليا-للبيع--4515,voursa
ديبلكس للبيــع في الفوز,Terrain,Vente,5200000,200,,,,الفوز البوادي,Teyarett,"دبلكس فالفوز المساحه 200م
قرب كدروه السعر الأخير 52 مليون",,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيــع-في-الفوز--c66a,voursa
منزل,Immobilier résidentiel,Vente,2500000,12,1,1,1,مفوضية الرياض,Riyadh,"منزل للبيع في بيكه ، أحذ مفوضية الرياض كارفور بامكو، منزل بمواصفات عادية يحتاج للترميم وإعادة بناء. أو للأستخدام الشخصي ، يتكون من غرفتين وبوتيك ، وحمام ومطبخ.
للتواصل والمعاينة يرجى التواصل مع :[TÉLÉPHONE SUPPRIMÉ]",,باب اعمر / محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/منزل-7525,voursa
نيمرو للبيـــع فالصحراوي,Terrain,Vente,6000000,400,,,,مديرية التوجيه الإسلامية,Tevragh Zeina,رقم 762 من الصحراوي بين إسكان وكرفور SNDE ب 60 مليون,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيـــع-فالصحراوي--7ca1,voursa
نص نيمرو فالمطار بلوك 59,Terrain,Vente,1050000,200,,,,إيثار,Dar Naim,المساحة 200م٢ موقع استراتيجي ارتفاع جيد,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نص-نيمرو-فالمطار-بلوك-59--4444,voursa
نيمرو من بوش 9 أفكرن قريب من كدروه,Terrain,Vente,4800000,533,,,,بوش 9,Tevragh Zeina,نيمرو أفكرن من بوش 9 قريب من كدوره ب 48 مليــون,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-بوش-9-افكرن-قريب-من-كدروه--498a,voursa
نص نيمرو فكرن من شرم الشيخ في البوادي نظيف,Terrain,Vente,1800000,150,,,,البوادي,Teyarett,"فكرن شوارعو كبار ونظيف تبارك الله 
ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",,محمدفال,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نص-نيمرو-فكرن-من-شرم-الشيخ-في-البوادي-نظيف-6c2f,voursa
يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص,Terrain,Vente,2900000,300,,,,كدروه عين طلح و البوادي فاز 2,Teyarett,يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص,,محمد سالم,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/يوجد-عندن-فرصة-حقيقية-نيمرو-مساحتو-300m2-على-كدروه-عين-طلح-و-البوادي-فاز-2-برمة-و-كتانص-6935,voursa
فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر,Immobilier commercial et industriel,Vente,23000000,600,,,,وقفة سانتر متير,Tevragh Zeina,فرصة سوق للبيع ف سانتر متير موقع جيد ممتاز دخل مليونين تواصل عل لوتساب,,mohamed,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/فرصة-سوق-للبيع-ف-مديل-f-سانتر-متير-موقع-ممتاز-دخل-معتبر-570c,voursa
نيمرو فعين الطلح,Immobilier résidentiel,Vente,630000,140,6,1,2,مجمع عين الطلح التجاري,Teyarett,"الموقع: نواكشوط – منطقة تيارت (TEYARET)

الحي: دار البركة (DAR EL BARKA)

القطاع: SOCGIM

المساحة: 140 متر مربع",,SmartZone MR,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فعين-الطلح-6b5d,voursa
نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع,Terrain,Vente,4200000,534,,,,بوش 9,Tevragh Zeina,السلام عليكم هذ نيمرو من بوش 9 ف المربع الذهبي بين نيمروين امع كدروه مساحة 534م# مبيوع ب 42مليون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-بوش-9-ف-للمربع-الذهبي-بين-نيمروين-امع-كدروه-للبيع--34bd,voursa
نيمرو فكرن من بوش 9 للبيع,Terrain,Vente,4900000,534,,,,بوش 9,Tevragh Zeina,السلام عليكم هذ نيمرو فكرن من بوش 9 مساحة 534م# مبيوع ب 49ملبون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--b53d,voursa
سوق للبيع,Immobilier commercial et industriel,Vente,23000000,600,,,,تفرغ زينه,Tevragh Zeina,"سوق للبيع
 الموقع تفرغ زينه
المساحه: 600 م²
الدخل : 2 مليون
السعر : 230 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/سوق-للبيع-7b67,voursa
ارض,Terrain,Vente,100000,150,,,,مستشفي انكدو  مطار القديم,Dar Naim,قطعة ارض فرصة,,Isselmou,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ارض-1052,voursa
قطعة ارضية,Terrain,Vente,4500000,300,,,,بوادي,Teyarett,"قطعة الأرضية رقم 174 ضارعه كبير و احتمال يقدرن في شرم الشيخ البوادي تستر فرنسي
تراب 300مبيوع فرصة 45مليون قابل للنقاش بقليل",,ام كلثوم احمد طالب,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/قطعة-ارضية-acdb,voursa
نيمرو فاتح ف ابرك من مدال m اسويت للبيع,Terrain,Vente,3000000,700,,,,مدال m اسويت,Tevragh Zeina,السلام عليكم هذ نيمرو فاتح ف ابرك مساحة 700م# تيتر افوصي مبيوع ب 30مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فاتح-ف-ابرك-من-مدال-m-اسويت-للبيع--ad7e,voursa
قطعتين للبيع,Terrain,Vente,24000000,1,,,,المطار القديم,Dar Naim,"قطعتين للبيع 
اعل البيست 
المطار القديم 
السعر 240 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/قطعتين-للبيع-edd3,voursa
شقة,Immobilier commercial et industriel,Vente,15000,150,,,,أقرب معلم أتاك الخير 2,Tevragh Zeina,ابرتماه للكراء في منطقة صانتر متير قرب أتاك الخير 2,,عبد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/شقة-fc2a,voursa
